rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
234,frame_0102.jpg,40.8,0.3449,0.5752,0.1111,0.12,10,1,False,False
235,frame_0214.jpg,85.6,0.3444,0.4142,0.1111,0.52,9,1,False,False
236,frame_0111.jpg,44.4,0.3427,0.4215,0.3333,0.16,8,3,False,False
237,frame_0104.jpg,41.6,0.3345,0.4876,0.2222,0.12,10,2,False,False
238,frame_0189.jpg,75.6,0.3336,0.5686,0.1111,0.08,8,1,False,False
239,frame_0093.jpg,37.2,0.3307,0.4988,0.1111,0.24,12,1,False,False
240,frame_0183.jpg,73.2,0.3295,0.5096,0.2222,0.04,9,2,False,False
241,frame_0174.jpg,69.6,0.3228,0.3842,0.2222,0.32,11,2,False,False
242,frame_0311.jpg,124.4,0.3216,0.4938,0.2222,0.04,14,2,False,False
243,frame_0204.jpg,81.6,0.3194,0.3001,0.1111,0.68,5,1,False,False
244,frame_0217.jpg,86.8,0.3178,0.4089,0.1111,0.4,8,1,False,False
245,frame_0108.jpg,43.2,0.3165,0.5504,0.1111,0.04,10,1,False,False
246,frame_0023.jpg,9.2,0.3126,0.2253,0.0,1.0,7,0,False,False
247,frame_0325.jpg,130.0,0.3099,0.4704,0.2222,0.04,14,2,False,False
248,frame_0197.jpg,78.8,0.2991,0.3715,0.1111,0.4,3,1,False,False
249,frame_0199.jpg,79.6,0.2857,0.3127,0.1111,0.48,4,1,False,False
250,frame_0196.jpg,78.4,0.2828,0.355,0.1111,0.36,7,1,False,False
251,frame_0226.jpg,90.4,0.2704,0.4582,0.1111,0.04,9,1,False,False
252,frame_0198.jpg,79.2,0.2674,0.2921,0.1111,0.44,5,1,False,False
253,frame_0191.jpg,76.4,0.2551,0.3128,0.2222,0.16,9,2,False,False
254,frame_0092.jpg,36.8,0.2494,0.3202,0.1111,0.28,10,1,False,False
255,frame_0101.jpg,40.4,0.2412,0.3838,0.1111,0.08,10,1,False,False
256,frame_0313.jpg,125.2,0.2213,0.4266,0.0,0.04,7,0,False,False
